Name,Nationality,Gender,Birth,Death,Age,Total Works,Total Departments,Architecture & Design,Fluxus Collection,Drawings & Prints,Painting & Sculpture,Media and Performance,Photography,Film,Architecture & Design - Image Archive,Common Department,Start Work Date,End Work Date,Total Years
0.0949464,0.015384615,1.0,0.9499249,0.9817194,0.04399407,9.314456E-5,0.0,0.0,0.0,0.006231454,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0031312269,0.9688581,0.018691588
0.5941807,0.03076923,1.0,0.9699549,0.99357706,0.03608502,7.451565E-4,0.2,0.0,0.0,0.008011869,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0033345532,0.9747899,0.028037382
0.10719755,0.015384615,1.0,0.9684527,0.9990119,0.043005437,0.0032600595,0.2,0.0,0.0,0.016023738,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0033142206,0.97973305,0.018691588
0.8277182,0.13846155,1.0,0.9634452,0.9802371,0.029164607,2.7943368E-4,0.0,0.0,0.0,0.006824926,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0031718921,0.963915,0.018691588
0.14701378,0.33846155,1.0,0.95242864,0.9629447,0.022738507,0.0054023843,0.2,0.0,0.0,0.02255193,0.027777778,0.0,0.0,0.0,0.0,0.16666667,0.002978732,0.962432,0.028037382
0.2618683,0.015384615,1.0,0.95092636,0.9743083,0.03559071,0.0076378537,0.4,9.3153234E-5,0.0,0.028486647,0.06944445,0.0,0.0,0.0,0.0,0.16666667,0.0029888984,0.9747899,0.12149533
0.9915773,0.015384615,1.0,0.9769654,0.0,0.03559071,9.314456E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0041741203,0.0,0.0,1.0,0.0034870482,0.9836876,0.07476635
0.9984686,0.33846155,1.0,0.9354031,0.9589921,0.03559071,0.056911327,0.2,0.0,0.0,0.18694362,0.013888889,0.0,0.0,0.0,0.0,0.16666667,0.0025212476,0.9555116,0.07476635
0.41577336,0.015384615,1.0,0.97095644,0.9950593,0.036579337,0.0013971684,0.2,0.0,0.0,0.008605341,0.083333336,0.0,0.0,0.0,0.0,0.16666667,0.0034158838,0.9876421,0.12149533
0.49387443,0.36923078,1.0,0.9619429,0.9812253,0.031636182,0.009035022,0.6,0.0,0.007832898,0.029376855,0.19444445,0.004854369,0.0,0.0,0.0,0.16666667,0.0031820585,0.9831933,0.3271028
0.8973966,0.10769231,1.0,0.87781674,0.90316206,0.036579337,0.028315946,0.0,0.0,0.0,0.09614243,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0018604368,0.89866537,0.0
0.651608,0.9076923,1.0,0.95543313,0.9851779,0.042016808,0.0020491802,0.4,0.003074057,0.0,0.0020771513,0.027777778,0.0,0.0,0.0,0.0,0.0,0.0029990647,0.9772615,0.19626169
0.39969373,0.015384615,0.5,0.95092636,0.9871541,0.048442908,0.007824143,0.0,0.0,0.0,0.0,0.0,0.0,0.020671835,0.0,0.0,1.0,0.0029888984,0.96737516,0.10280374
0.084226646,0.33846155,1.0,0.91437155,0.9387352,0.03608502,9.314456E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0041741203,0.0,0.0,1.0,0.002185759,0.9199209,0.056074765
0.5811639,0.33846155,1.0,0.90836257,0.9268775,0.030153237,9.314456E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0041741203,0.0,0.0,1.0,0.002185759,0.9199209,0.056074765
0.7327718,0.10769231,1.0,0.96745116,0.0,0.044982698,4.657228E-4,0.2,1.8630647E-4,0.0,0.006824926,0.0,0.0,0.0,0.0,0.0,0.16666667,0.0033447195,0.9876421,0.07476635
0.76875955,0.015384615,0.5,0.97796696,0.0,0.034602076,0.0012108793,0.0,0.003074057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003446383,0.99110234,0.018691588
0.30704442,0.015384615,0.5,0.97245866,0.0,0.040039547,0.0015834576,0.0,0.0,0.0,0.0,0.0,0.0,0.007354403,0.0,0.0,1.0,0.0034870482,0.9836876,0.056074765
